location_id,datetime_beginning,temp_f,dewpoint_f,humidity,windspeed_mph,pressure_millibars,cloud_percentage,precip_rate_mm_per_hour,weather_conditions,horizontal_irradiance_watts_per_m2,created_at
819ad24f-585c-4050-8b51-9d682a7a7243,2022-01-01 00:00:00.000000 UTC,58.75,54.39,85,14.13,1005.2,100,0.25,Rain Showers,0,2023-11-16 13:19:09.119975 UTC
819ad24f-585c-4050-8b51-9d682a7a7243,2022-01-01 01:00:00.000000 UTC,57.42,54.17,89,13.78,1005.2,100,0.55,Rain Showers,0,2023-11-16 13:19:09.119975 UTC
819ad24f-585c-4050-8b51-9d682a7a7243,2022-01-01 02:00:00.000000 UTC,57.07,54.19,90,13.24,1007,100,1.06,Isolated Showers,0,2023-11-16 13:19:09.119975 UTC
819ad24f-585c-4050-8b51-9d682a7a7243,2022-01-01 03:00:00.000000 UTC,57.08,55.24,94,7.93,1007,100,0.4,Rain Showers,0,2023-11-16 13:19:09.119975 UTC
819ad24f-585c-4050-8b51-9d682a7a7243,2022-01-01 04:00:00.000000 UTC,57.4,55.19,92,4.89,1006.1,100,0.25,Rain Showers,0,2023-11-16 13:19:09.119975 UTC
819ad24f-585c-4050-8b51-9d682a7a7243,2022-01-01 05:00:00.000000 UTC,56.42,55.06,95,7.11,1005,100,1.4,Scattered Showers,0,2023-11-16 13:19:09.119975 UTC
819ad24f-585c-4050-8b51-9d682a7a7243,2022-01-01 06:00:00.000000 UTC,56.41,55.07,95,5.88,1004.1,100,0,Cloudy,0,2023-11-16 13:19:09.119975 UTC
819ad24f-585c-4050-8b51-9d682a7a7243,2022-01-01 07:00:00.000000 UTC,56.93,55.79,96,3.12,1003.2,100,0,Cloudy,0,2023-11-16 13:19:09.119975 UTC
819ad24f-585c-4050-8b51-9d682a7a7243,2022-01-01 08:00:00.000000 UTC,56.26,55.33,97,8.51,1004.2,100,0.62,Rain Showers,0,2023-11-16 13:19:09.119975 UTC
819ad24f-585c-4050-8b51-9d682a7a7243,2022-01-01 09:00:00.000000 UTC,56.57,54.3,92,7.28,1004.2,100,1.09,Isolated Showers,0,2023-11-16 13:19:09.119975 UTC
819ad24f-585c-4050-8b51-9d682a7a7243,2022-01-01 10:00:00.000000 UTC,55.15,54.73,98,3.5,1005,100,2.48,Scattered Showers,0,2023-11-16 13:19:09.119975 UTC
819ad24f-585c-4050-8b51-9d682a7a7243,2022-01-01 11:00:00.000000 UTC,55.08,53.65,95,4.15,1003.2,100,1.16,Isolated Showers,0,2023-11-16 13:19:09.119975 UTC
819ad24f-585c-4050-8b51-9d682a7a7243,2022-01-01 12:00:00.000000 UTC,55.11,54,96,6.21,1004,100,3.41,Rain,0,2023-11-16 13:19:09.119975 UTC
819ad24f-585c-4050-8b51-9d682a7a7243,2022-01-01 13:00:00.000000 UTC,54.86,53.55,95,9.11,1004.3,100,2.74,Rain,0,2023-11-16 13:19:09.119975 UTC
819ad24f-585c-4050-8b51-9d682a7a7243,2022-01-01 14:00:00.000000 UTC,53.65,53.57,100,6.95,1005,100,2.82,Rain,12.881,2023-11-16 13:19:09.119975 UTC
819ad24f-585c-4050-8b51-9d682a7a7243,2022-01-01 15:00:00.000000 UTC,53.93,53.08,97,10.82,1003,100,3.86,Rain,53.2797,2023-11-16 13:19:09.119975 UTC
819ad24f-585c-4050-8b51-9d682a7a7243,2022-01-01 16:00:00.000000 UTC,53.94,53.18,97,8.37,1003.2,100,2.48,Scattered Showers,85.6399,2023-11-16 13:19:09.119975 UTC
819ad24f-585c-4050-8b51-9d682a7a7243,2022-01-01 17:00:00.000000 UTC,54.24,53.34,97,6.14,1004.1,100,0.96,Rain Showers,107.7581,2023-11-16 13:19:09.119975 UTC
819ad24f-585c-4050-8b51-9d682a7a7243,2022-01-01 18:00:00.000000 UTC,50.71,49.77,97,7.41,1004.2,100,0.02,Rain Showers,118.1278,2023-11-16 13:19:09.119975 UTC
819ad24f-585c-4050-8b51-9d682a7a7243,2022-01-01 19:00:00.000000 UTC,53.81,52.37,95,9.04,1003.3,100,0,Cloudy,116.0428,2023-11-16 13:19:09.119975 UTC
819ad24f-585c-4050-8b51-9d682a7a7243,2022-01-01 20:00:00.000000 UTC,42.65,40.86,93,12.3,1004.6,100,0,Cloudy,103.3348,2023-11-16 13:19:09.119975 UTC
819ad24f-585c-4050-8b51-9d682a7a7243,2022-01-01 21:00:00.000000 UTC,37.72,37.44,99,6.47,1006.4,100,0.15,Rain Showers,75.9147,2023-11-16 13:19:09.119975 UTC
819ad24f-585c-4050-8b51-9d682a7a7243,2022-01-01 22:00:00.000000 UTC,35.68,34.34,95,11.89,1008.4,100,0.09,Snow Showers,40.6045,2023-11-16 13:19:09.119975 UTC
819ad24f-585c-4050-8b51-9d682a7a7243,2022-01-01 23:00:00.000000 UTC,30.86,29.41,94,9.15,1011,100,0,Cloudy,0,2023-11-16 13:19:09.119975 UTC
819ad24f-585c-4050-8b51-9d682a7a7243,2022-01-02 00:00:00.000000 UTC,28.79,27.22,94,6.72,1011.2,100,0,Cloudy,0,2023-11-16 13:19:09.119975 UTC
819ad24f-585c-4050-8b51-9d682a7a7243,2022-01-02 01:00:00.000000 UTC,25.11,23.68,94,11.77,1013.5,100,0,Cloudy,0,2023-11-16 13:19:09.119975 UTC
819ad24f-585c-4050-8b51-9d682a7a7243,2022-01-02 02:00:00.000000 UTC,23.43,20.7,89,8.94,1014.6,100,0,Cloudy,0,2023-11-16 13:19:09.119975 UTC
819ad24f-585c-4050-8b51-9d682a7a7243,2022-01-02 03:00:00.000000 UTC,20.68,19.6,96,4.76,1014.5,100,0,Cloudy,0,2023-11-16 13:19:09.119975 UTC
819ad24f-585c-4050-8b51-9d682a7a7243,2022-01-02 04:00:00.000000 UTC,18.44,17.24,95,7.87,1015.5,100,0,Cloudy,0,2023-11-16 13:19:09.119975 UTC
819ad24f-585c-4050-8b51-9d682a7a7243,2022-01-02 05:00:00.000000 UTC,17.81,15.27,90,8.04,1018.3,100,0,Cloudy,0,2023-11-16 13:19:09.119975 UTC
819ad24f-585c-4050-8b51-9d682a7a7243,2022-01-02 06:00:00.000000 UTC,16,13.66,90,8.37,1016.5,100,0,Cloudy,0,2023-11-16 13:19:09.119975 UTC
819ad24f-585c-4050-8b51-9d682a7a7243,2022-01-02 07:00:00.000000 UTC,14.99,12.99,92,11.32,1017.7,100,0,Cloudy,0,2023-11-16 13:19:09.119975 UTC
819ad24f-585c-4050-8b51-9d682a7a7243,2022-01-02 08:00:00.000000 UTC,15.62,12.79,88,10.16,1018.9,100,0,Cloudy,0,2023-11-16 13:19:09.119975 UTC
819ad24f-585c-4050-8b51-9d682a7a7243,2022-01-02 09:00:00.000000 UTC,15.13,12.74,90,7.41,1022.2,100,0,Cloudy,0,2023-11-16 13:19:09.119975 UTC
819ad24f-585c-4050-8b51-9d682a7a7243,2022-01-02 10:00:00.000000 UTC,13.95,9.88,83,10.41,1021.2,100,0,Cloudy,0,2023-11-16 13:19:09.119975 UTC
819ad24f-585c-4050-8b51-9d682a7a7243,2022-01-02 11:00:00.000000 UTC,12.93,9.95,88,11.04,1021.5,100,0,Cloudy,0,2023-11-16 13:19:09.119975 UTC
819ad24f-585c-4050-8b51-9d682a7a7243,2022-01-02 12:00:00.000000 UTC,13.79,10.2,85,9.8,1023.3,100,0,Cloudy,0,2023-11-16 13:19:09.119975 UTC
819ad24f-585c-4050-8b51-9d682a7a7243,2022-01-02 13:00:00.000000 UTC,13.51,9.66,84,14.9,1023.5,100,0,Cloudy,0,2023-11-16 13:19:09.119975 UTC
